name	description	price	image_src
Куриные Крылышки (7 шт.) Большой МакКомбо	Большой МакКомбо состоит из Куриных Крылышек (7 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	369	https://eda.yandex/images/3529908/12c46fd8ccdd35b1e16c0c0e902e349d-450x300.png
Куриные Крылышки (5 шт.) Большой МакКомбо	Большой МакКомбо состоит из Куриных Крылышек (5 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	305	https://eda.yandex/images/3781088/eddead45a797f184f73602addae46f4e-450x300.png
Куриные Крылышки (3 шт.) Большой МакКомбо	Большой МакКомбо состоит из Куриных Крылышек (3 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	255	https://eda.yandex/images/3512826/a3438788af61e68878b979a7f890379d-450x300.png
Куриные Стрипсы (7 шт) Большой  МакКомбо	Большой МакКомбо состоит из Куриных Стрипсов (7 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	319	https://eda.yandex/images/3507787/6571ac33ae56fb827ed02112a556fd62-450x300.png
Куриные Стрипсы (5 шт.) Большой МакКомбо	Большой МакКомбо состоит из Куриных Стрипсов (5 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	269	https://eda.yandex/images/3518584/16cc9fb9958705e0d155e1d9582e0d6f-450x300.png
Куриные Стрипсы (3 шт.) Большой МакКомбо	Большой МакКомбо состоит из Куриных Стрипсов (3 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	215	https://eda.yandex/images/3507668/e73488022ff5bc261807c6748a2c7d23-450x300.png
Чикен Макнаггетс (9 шт.) Большой МакКомбо	Большой МакКомбо состоит из Чикен Макнаггетс (9 шт.), Картофеля на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	215	https://eda.yandex/images/3512182/005e681e9a3b2811d8dc3c6c0ee7c98c-450x300.png
Чикен Макнаггетс (6 шт.) Большой МакКомбо	Большой МакКомбо состоит из Чикен Макнаггетс (6 шт.), Картофеля фри на выбор и Напитка на выбор. При изменении комплектации цена МакКомбо может измениться	195	https://eda.yandex/images/3491582/dcc8842cad342ee8379bd7d3ae770424-450x300.png
Макчикен Премьер Пиканто	Сочная куриная котлета в хрустящей панировке заправленная ароматным соусом с нотками чеснока, сыр Чеддер, ароматный бекон, ломтик помидора, свежий салат, маринованные огурчики и, конечно, та самая булочка с кунжутом	165	https://eda.yandex/images/1962206/88629067256d368d7b30efb9d812c142-450x300.jpeg
Двойной Биг Тейсти	Бургер с двумя большими рублеными бифштексами из 100% говядины на булочке с кунжутом. Особенный вкус сандвичу придают соус Гриль с дымком, 3 кусочка сыра Эмменталь, ломтик помидора, свежий салат и лук	325	https://eda.yandex/images/3525402/e14da7a6e97604b3f18f45953a6122bc-450x300.png
